Sample Name	Protocol REF	Parameter Value[Scanner]	Parameter Value[Volume Of Interest Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Scan Medium]	Parameter Value[Voxel Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Integration Time Exposure]	Unit	Term Source REF	Term Accession Number	Parameter Value[Frame Averaging]	Protocol REF	Parameter Value[Sample Size]	Term Source REF	Term Accession Number	Parameter Value[Preservation]	Term Source REF	Term Accession Number	Parameter Value[Fixation Chemical]	Unit	Term Source REF	Term Accession Number	Parameter Value[Fixation Chemical Concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Shrinkage Prevention Chemical]	Parameter Value[Staining Chemical]	Parameter Value[Staining Chemical Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Filtration Algorithm]	Assay Name	Parameter Value[Submitted Results File]	Protocol REF	Parameter Value[Transformed Reusable Files]
F10_Mouse_Eye	Image Scan Acquisition	Skyscan 1272 Desktop Micro-ct System	2	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	absolute ethanol	4.5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	4	Sample collection - Skyscan 1272 Desktop Micro-ct System.	Six	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66837	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde				4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	ethanol	phosphomolybdic acid solution	10	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Image Processing And Reconstruction	No Filter	microcomputed tomography	LSDS-1_microCT_MicroCT_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-1_microCT_MicroCT_Transformed_Reusable_Results.csv
F12_Mouse_Eye	Image Scan Acquisition	Skyscan 1272 Desktop Micro-ct System	2	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	absolute ethanol	4.5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	4	Sample collection - Skyscan 1272 Desktop Micro-ct System.	Six	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66837	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde				4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	ethanol	phosphomolybdic acid solution	10	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Image Processing And Reconstruction	No Filter	microcomputed tomography	LSDS-1_microCT_MicroCT_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-1_microCT_MicroCT_Transformed_Reusable_Results.csv
F13_Mouse_Eye	Image Scan Acquisition	Skyscan 1272 Desktop Micro-ct System	2	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	absolute ethanol	4.5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	4	Sample collection - Skyscan 1272 Desktop Micro-ct System.	Six	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66837	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde				4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	ethanol	phosphomolybdic acid solution	10	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Image Processing And Reconstruction	No Filter	microcomputed tomography	LSDS-1_microCT_MicroCT_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-1_microCT_MicroCT_Transformed_Reusable_Results.csv
F14_Mouse_Eye	Image Scan Acquisition	Skyscan 1272 Desktop Micro-ct System	2	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	absolute ethanol	4.5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	4	Sample collection - Skyscan 1272 Desktop Micro-ct System.	Six	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66837	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde				4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	ethanol	phosphomolybdic acid solution	10	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Image Processing And Reconstruction	No Filter	microcomputed tomography	LSDS-1_microCT_MicroCT_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-1_microCT_MicroCT_Transformed_Reusable_Results.csv
GC10_Mouse_Eye	Image Scan Acquisition	Skyscan 1272 Desktop Micro-ct System	2	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	absolute ethanol	4.5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	4	Sample collection - Skyscan 1272 Desktop Micro-ct System.	Six	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66837	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde				4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	ethanol	phosphomolybdic acid solution	10	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Image Processing And Reconstruction	No Filter	microcomputed tomography	LSDS-1_microCT_MicroCT_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-1_microCT_MicroCT_Transformed_Reusable_Results.csv
GC11_Mouse_Eye	Image Scan Acquisition	Skyscan 1272 Desktop Micro-ct System	2	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	absolute ethanol	4.5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	4	Sample collection - Skyscan 1272 Desktop Micro-ct System.	Six	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66837	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde				4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	ethanol	phosphomolybdic acid solution	10	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Image Processing And Reconstruction	No Filter	microcomputed tomography	LSDS-1_microCT_MicroCT_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-1_microCT_MicroCT_Transformed_Reusable_Results.csv
GC13_Mouse_Eye	Image Scan Acquisition	Skyscan 1272 Desktop Micro-ct System	2	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	absolute ethanol	4.5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	4	Sample collection - Skyscan 1272 Desktop Micro-ct System.	Six	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66837	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde				4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	ethanol	phosphomolybdic acid solution	10	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Image Processing And Reconstruction	No Filter	microcomputed tomography	LSDS-1_microCT_MicroCT_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-1_microCT_MicroCT_Transformed_Reusable_Results.csv
GC14_Mouse_Eye	Image Scan Acquisition	Skyscan 1272 Desktop Micro-ct System	2	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	absolute ethanol	4.5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	4	Sample collection - Skyscan 1272 Desktop Micro-ct System.	Six	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66837	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde				4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	ethanol	phosphomolybdic acid solution	10	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Image Processing And Reconstruction	No Filter	microcomputed tomography	LSDS-1_microCT_MicroCT_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-1_microCT_MicroCT_Transformed_Reusable_Results.csv
Viv10_Mouse_Eye	Image Scan Acquisition	Skyscan 1272 Desktop Micro-ct System	2	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	absolute ethanol	4.5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	4	Sample collection - Skyscan 1272 Desktop Micro-ct System.	Six	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66837	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde				4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	ethanol	phosphomolybdic acid solution	10	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Image Processing And Reconstruction	No Filter	microcomputed tomography	LSDS-1_microCT_MicroCT_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-1_microCT_MicroCT_Transformed_Reusable_Results.csv
Viv12_Mouse_Eye	Image Scan Acquisition	Skyscan 1272 Desktop Micro-ct System	2	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	absolute ethanol	4.5	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	90	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	4	Sample collection - Skyscan 1272 Desktop Micro-ct System.	Six	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66837	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde				4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	ethanol	phosphomolybdic acid solution	10	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Image Processing And Reconstruction	No Filter	microcomputed tomography	LSDS-1_microCT_MicroCT_Submitted_Results.xlsx	ALSDA Processed Data	LSDS-1_microCT_MicroCT_Transformed_Reusable_Results.csv
