Sample Name	Protocol REF	Parameter Value[Preservation]	Term Source REF	Term Accession Number	Parameter Value[Fixation Chemical]	Term Source REF	Term Accession Number	Parameter Value[Chemical Fixation Concentration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Section Thickness]	Unit	Term Source REF	Term Accession Number	Protocol REF	Assay Name	Image File
F15_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_F15_RR9_Ret_2X__10X_HE.zip
F16_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_F16_RR9_Ret_2X__10X_HE.zip
F17_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_F17_RR9_Ret_2X__10X_HE.zip
F18_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_F18_RR9_Ret_2X__10X_HE.zip
F19_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_F19_RR9_Ret_2X_10X_HE.zip
F20_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_F20_RR9_Ret_2X_10X_HE.zip
GC15_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_GC15_RR9_Ret_2X_10X_HE.zip
GC16_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_GC16_RR9_Ret_2X_10X_HE.zip
GC17_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_GC17_RR9_Ret_2X_10X_HE.zip
GC18_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_GC18_RR9_Ret_2X_10X_HE.zip
GC19_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_GC19_RR9_Ret_2X_10X_HE.zip
GC20_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_GC20_RR9_Ret_2X_10X_HE.zip
Viv15_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_V15_RR9_Ret_2X_HE_24.zip
Viv16_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_V16_RR9_Ret_2X_HE_25.zip
Viv17_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_V17_RR9_Ret_2X_HE_26.zip
Viv18_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_V18_RR9_Ret_2X_HE_27.zip
Viv19_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_V19_RR9_Ret_2X_HE_28.zip
Viv20_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_V20_RR9_Ret_2X_HE_29.zip
CC2_15_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_CC2_15_RR9_Ret_2X_HE_30.zip
CC2_16_Mouse_Eye	Labeling Protocol - Hematoxylin and Eosin Staining	Chemical	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48807	Paraformaldehyde	OSD	https://osdr.nasa.gov/	4	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Six	micrometer	UO	http://purl.obolibrary.org/obo/UO_0000017	Histology	Hematoxylin and Eosin Staining	LSDS-1_Histology_CC2_16_RR9_Ret_2X_HE_31.zip
