Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at launch]	Unit	Term Source REF	Term Accession Number	Characteristics[diet]	Characteristics[Experiment Start Date (DD/MM/YYYY)]	Characteristics[Experiment End Date (DD/MM/YYYY)]	Characteristics[duration]	Unit	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Comment[Feeding Schedule]	Parameter Value[light cycle]	Parameter Value[habitat]	Term Source REF	Term Accession Number	Parameter Value[Enrichment material]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Method]	Parameter Value[Euthanasia Date]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[vehicle]	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number
F10	F10_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/08/2017	16/09/2017	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/09/2017	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	35	day	RBO	http://purl.obolibrary.org/obo/UO_0000033	8.295	milligray	RBO	http://purl.obolibrary.org/obo/UO_0000142	0.237	milligray per day	RBO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
F12	F12_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/08/2017	16/09/2017	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/09/2017	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	35	day	RBO	http://purl.obolibrary.org/obo/UO_0000033	8.295	milligray	RBO	http://purl.obolibrary.org/obo/UO_0000142	0.237	milligray per day	RBO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
F13	F13_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/08/2017	16/09/2017	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/09/2017	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	35	day	RBO	http://purl.obolibrary.org/obo/UO_0000033	8.295	milligray	RBO	http://purl.obolibrary.org/obo/UO_0000142	0.237	milligray per day	RBO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
F14	F14_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/08/2017	16/09/2017	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/09/2017	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	35	day	RBO	http://purl.obolibrary.org/obo/UO_0000033	8.295	milligray	RBO	http://purl.obolibrary.org/obo/UO_0000142	0.237	milligray per day	RBO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
F15	F15_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/08/2017	16/09/2017	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/09/2017	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	35	day	RBO	http://purl.obolibrary.org/obo/UO_0000033	8.295	milligray	RBO	http://purl.obolibrary.org/obo/UO_0000142	0.237	milligray per day	RBO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
F16	F16_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/08/2017	16/09/2017	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/09/2017	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	35	day	RBO	http://purl.obolibrary.org/obo/UO_0000033	8.295	milligray	RBO	http://purl.obolibrary.org/obo/UO_0000142	0.237	milligray per day	RBO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
F17	F17_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/08/2017	16/09/2017	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/09/2017	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	35	day	RBO	http://purl.obolibrary.org/obo/UO_0000033	8.295	milligray	RBO	http://purl.obolibrary.org/obo/UO_0000142	0.237	milligray per day	RBO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
F18	F18_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/08/2017	16/09/2017	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/09/2017	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	35	day	RBO	http://purl.obolibrary.org/obo/UO_0000033	8.295	milligray	RBO	http://purl.obolibrary.org/obo/UO_0000142	0.237	milligray per day	RBO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
F19	F19_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/08/2017	16/09/2017	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/09/2017	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	35	day	RBO	http://purl.obolibrary.org/obo/UO_0000033	8.295	milligray	RBO	http://purl.obolibrary.org/obo/UO_0000142	0.237	milligray per day	RBO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
F20	F20_Mouse_Eye	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Left eye	FMA	http://purl.org/sig/ont/fma/fma54450	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	10	week	RBO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	14/08/2017	16/09/2017	35	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	ad libitum	12 h light/dark cycle	Rodent Habitat			Hut			sample collection	4% paraformaldehyde	OSD	https://osdr.nasa.gov/	100% Carbon dioxide	22/09/2017	OSD	https://osdr.nasa.gov/	Radiation Dosimetry	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	35	day	RBO	http://purl.obolibrary.org/obo/UO_0000033	8.295	milligray	RBO	http://purl.obolibrary.org/obo/UO_0000142	0.237	milligray per day	RBO	http://purl.obolibrary.org/obo/UO_0010063	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
